"V1","KO","n","Definition"
"KO:K03164","K03164",1193,"TOP2; DNA topoisomerase II [EC:5.6.2.2]"
"KO:K19786","K19786",13,"IPK1; inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]"
"KO:K19792","K19792",13,"FET4; low-affinity ferrous iron transport protein"
"KO:K00019","K00019",12,"BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]"
"KO:K00263","K00263",12,"E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]"
"KO:K00433","K00433",12,"cpo; non-heme chloroperoxidase [EC:1.11.1.10]"
"KO:K01255","K01255",12,"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
"KO:K01502","K01502",12,"E3.5.5.7; aliphatic nitrilase [EC:3.5.5.7]"
"KO:K01991","K01991",12,"wza, gfcE; polysaccharide biosynthesis/export protein"
"KO:K02883","K02883",12,"RP-L18e, RPL18; large subunit ribosomal protein L18e"
"KO:K03135","K03135",12,"TAF11; transcription initiation factor TFIID subunit 11"
"KO:K03418","K03418",12,"dmfA2; N,N-dimethylformamidase large subunit [EC:3.5.1.56]"
"KO:K03676","K03676",12,"grxC, GLRX, GLRX2; glutaredoxin 3"
"KO:K03964","K03964",12,"NDUFB8; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8"
"KO:K04518","K04518",12,"pheA2; prephenate dehydratase [EC:4.2.1.51]"
"KO:K04605","K04605",12,"GRM2; metabotropic glutamate receptor 2"
"KO:K04627","K04627",12,"STE3; pheromone a factor receptor"
"KO:K04805","K04805",12,"CHRNA3; nicotinic acetylcholine receptor alpha-3"
"KO:K04819","K04819",12,"HTR3; 5-hydroxytryptamine receptor 3"
"KO:K05290","K05290",12,"PIGK; GPI-anchor transamidase subunit K"
"KO:K05387","K05387",12,"GRIP; glutamate receptor, ionotropic, plant"
"KO:K05592","K05592",12,"deaD, cshA; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]"
"KO:K05727","K05727",12,"DOCK3; dedicator of cytokinesis protein 3"
"KO:K05743","K05743",12,"LIMK1; LIM domain kinase 1 [EC:2.7.11.1]"
"KO:K05759","K05759",12,"PFN; profilin"
"KO:K05925","K05925",12,"METTL3; mRNA m6A methyltransferase catalytic subunit [EC:2.1.1.348]"
"KO:K06113","K06113",12,"abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]"
"KO:K06116","K06116",12,"GPP; glycerol-1-phosphatase [EC:3.1.3.21]"
"KO:K06130","K06130",12,"LYPLA2; lysophospholipase II [EC:3.1.1.5]"
"KO:K06221","K06221",12,"dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]"
"KO:K06596","K06596",12,"chpA; chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)"
"KO:K07101","K07101",12,"K07101; uncharacterized protein"
"KO:K07124","K07124",12,"K07124; uncharacterized protein"
"KO:K07127","K07127",12,"uraH, pucM, hiuH; 5-hydroxyisourate hydrolase [EC:3.5.2.17]"
"KO:K07246","K07246",12,"ttuC, dmlA; tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]"
"KO:K07282","K07282",12,"capA, pgsA; gamma-polyglutamate biosynthesis protein CapA"
"KO:K07305","K07305",12,"msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]"
"KO:K07910","K07910",12,"RAB18; Ras-related protein Rab-18"
"KO:K08516","K08516",12,"YKT6; synaptobrevin homolog YKT6"
"KO:K08848","K08848",12,"RIPK4; receptor-interacting serine/threonine-protein kinase 4 [EC:2.7.11.1]"
"KO:K09244","K09244",12,"AMDR; transcriptional regulatory protein AMDR"
"KO:K09274","K09274",12,"K09274; HMG box factor, other"
"KO:K09487","K09487",12,"HSP90B, TRA1; heat shock protein 90kDa beta"
"KO:K09550","K09550",12,"PFDN4; prefoldin subunit 4"
"KO:K09827","K09827",12,"ERG27; 3-keto steroid reductase [EC:1.1.1.270]"
"KO:K10536","K10536",12,"aguA; agmatine deiminase [EC:3.5.3.12]"
"KO:K10577","K10577",12,"UBE2I, UBC9; ubiquitin-conjugating enzyme E2 I"
"KO:K10737","K10737",12,"MCM8; DNA helicase MCM8 [EC:5.6.2.4]"
"KO:K10994","K10994",12,"RAD9A; cell cycle checkpoint control protein RAD9A [EC:3.1.11.2]"
"KO:K11143","K11143",12,"DNAI2; dynein axonemal intermediate chain 2"
"KO:K11430","K11430",12,"EZH2; [histone H3]-lysine27 N-trimethyltransferase EZH2 [EC:2.1.1.356]"
"KO:K11572","K11572",12,"SPC19; DASH complex subunit SPC19"
"KO:K11888","K11888",12,"CUT8, STS1; protein Cut8"
"KO:K12177","K12177",12,"COPS3, CSN3; COP9 signalosome complex subunit 3"
"KO:K12350","K12350",12,"SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]"
"KO:K12492","K12492",12,"ARFGAP1; ADP-ribosylation factor GTPase-activating protein 1"
"KO:K12743","K12743",12,"PCBAB; N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase [EC:6.3.2.26]"
"KO:K12848","K12848",12,"SNU23; U4/U6.U5 tri-snRNP component SNU23"
"KO:K13279","K13279",12,"PRDX1; peroxiredoxin 1 [EC:1.11.1.24]"
"KO:K13293","K13293",12,"PDE4; cAMP-specific phosphodiesterase 4 [EC:3.1.4.53]"
"KO:K13337","K13337",12,"PEX19; peroxin-19"
"KO:K13421","K13421",12,"UMPS; uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]"
"KO:K13566","K13566",12,"NIT2, yafV; omega-amidase [EC:3.5.1.3]"
"KO:K13614","K13614",12,"pksN, baeN; bacillaene biosynthesis, polyketide synthase / nonribosomal peptide synthetase PksN/BaeN"
"KO:K13628","K13628",12,"iscA; iron-sulfur cluster assembly protein"
"KO:K13775","K13775",12,"atuG; citronellol/citronellal dehydrogenase"
"KO:K14001","K14001",12,"SIL1, SLS1; nucleotide exchange factor SIL1"
"KO:K14170","K14170",12,"pheA; chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]"
"KO:K14397","K14397",12,"NUDT21, CPSF5, CFIM25; cleavage and polyadenylation specificity factor subunit 5"
"KO:K14562","K14562",12,"TCOF1; Treacher Collins syndrome protein"
"KO:K14689","K14689",12,"SLC30A2, ZNT2; solute carrier family 30 (zinc transporter), member 2"
"KO:K14800","K14800",12,"TSR2; pre-rRNA-processing protein TSR2"
"KO:K14852","K14852",12,"RRS1; regulator of ribosome biosynthesis"
"KO:K15385","K15385",12,"APDC; aspyridone synthetase trans-acting enoyl reductase"
"KO:K15442","K15442",12,"TAD3, ADAT3; tRNA-specific adenosine deaminase 3"
"KO:K15455","K15455",12,"DPH3, KTI11; diphthamide biosynthesis protein 3"
"KO:K15529","K15529",12,"POA1; ADP-ribose 1''-phosphate phosphatase [EC:3.1.3.84]"
"KO:K15791","K15791",12,"DHKTD1; probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 [EC:1.2.4.2]"
"KO:K16013","K16013",12,"cydD; ATP-binding cassette, subfamily C, bacterial CydD"
"KO:K17099","K17099",12,"ANXA13; annexin A13"
"KO:K17278","K17278",12,"PGRMC1_2; membrane-associated progesterone receptor component"
"KO:K17645","K17645",12,"AVNA, CYP60A1; averantin hydroxylase [EC:1.14.14.116]"
"KO:K17662","K17662",12,"CBP3, UQCC; cytochrome b pre-mRNA-processing protein 3"
"KO:K17816","K17816",12,"NUDT1, MTH1; 8-oxo-dGTP diphosphatase / 2-hydroxy-dATP diphosphatase [EC:3.6.1.55 3.6.1.56]"
"KO:K18184","K18184",12,"COX20; cytochrome c oxidase assembly protein subunit 20"
"KO:K18197","K18197",12,"yesW; rhamnogalacturonan endolyase [EC:4.2.2.23]"
"KO:K18576","K18576",12,"XEG; xyloglucan-specific endo-beta-1,4-glucanase [EC:3.2.1.151]"
"KO:K18694","K18694",12,"PGC1; phosphatidylglycerol phospholipase C [EC:3.1.4.-]"
"KO:K19177","K19177",12,"NUS1; dehydrodolichyl diphosphate syntase complex subunit NUS1 [EC:2.5.1.87]"
"KO:K00236","K00236",11,"SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit"
"KO:K00309","K00309",11,"dmg; dimethylglycine oxidase [EC:1.5.3.10]"
"KO:K00416","K00416",11,"QCR6, UQCRH; ubiquinol-cytochrome c reductase subunit 6"
"KO:K00632","K00632",11,"fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]"
"KO:K00833","K00833",11,"bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]"
"KO:K01072","K01072",11,"NA"
"KO:K01103","K01103",11,"PFKFB3; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3 [EC:2.7.1.105 3.1.3.46]"
"KO:K01106","K01106",11,"INPP5A; inositol polyphosphate 5-phosphatase INPP5A [EC:3.1.3.56]"
"KO:K01195","K01195",11,"uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]"
"KO:K01218","K01218",11,"gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
"KO:K01354","K01354",11,"ptrB; oligopeptidase B [EC:3.4.21.83]"
"KO:K01563","K01563",11,"dhaA; haloalkane dehalogenase [EC:3.8.1.5]"
"KO:K01639","K01639",11,"E4.1.3.3, nanA, NPL; N-acetylneuraminate lyase [EC:4.1.3.3]"
"KO:K01745","K01745",11,"hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]"
"KO:K02138","K02138",11,"ATPeF0D, ATP5H, ATP7; F-type H+-transporting ATPase subunit d"
"KO:K02319","K02319",11,"pol; DNA polymerase, archaea type [EC:2.7.7.7]"
"KO:K02892","K02892",11,"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
"KO:K03012","K03012",11,"RPB4, POLR2D; DNA-directed RNA polymerase II subunit RPB4"
"KO:K03016","K03016",11,"RPABC3, RPB8, POLR2H; DNA-directed RNA polymerases I, II, and III subunit RPABC3"
"KO:K03098","K03098",11,"APOD; apolipoprotein D and lipocalin family protein"
"KO:K03111","K03111",11,"ssb; single-strand DNA-binding protein"
"KO:K03505","K03505",11,"POLD4; DNA polymerase delta subunit 4"
"KO:K03530","K03530",11,"hupB; DNA-binding protein HU-beta"
"KO:K03652","K03652",11,"MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21]"
"KO:K03793","K03793",11,"PTR1; pteridine reductase [EC:1.5.1.33]"
"KO:K03858","K03858",11,"PIGH, GPI15; phosphatidylinositol N-acetylglucosaminyltransferase subunit H"
"KO:K04727","K04727",11,"AIFM1, PDCD8; apoptosis-inducing factor 1 [EC:1.-.-.-]"
"KO:K05287","K05287",11,"PIGF; GPI ethanolamine phosphate transferase 2/3 subunit F"
"KO:K05341","K05341",11,"E2.4.1.4; amylosucrase [EC:2.4.1.4]"
"KO:K05393","K05393",11,"NA"
"KO:K06178","K06178",11,"rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]"
"KO:K06236","K06236",11,"COL1A; collagen type I alpha"
"KO:K06682","K06682",11,"TEM1; Gtp-binding protein of the ras superfamily involved in termination of M-phase"
"KO:K06688","K06688",11,"UBE2C, UBC11; ubiquitin-conjugating enzyme E2 C [EC:2.3.2.23]"
"KO:K06885","K06885",11,"K06885; uncharacterized protein"
"KO:K06897","K06897",11,"K06897; 7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]"
"KO:K06910","K06910",11,"PEBP, TFS1; phosphatidylethanolamine-binding protein"
"KO:K07053","K07053",11,"E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"
"KO:K07059","K07059",11,"K07059; uncharacterized protein"
"KO:K07432","K07432",11,"ALG13; beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]"
"KO:K07568","K07568",11,"queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]"
"KO:K07760","K07760",11,"CDK; cyclin-dependent kinase [EC:2.7.11.22]"
"KO:K08504","K08504",11,"BET1; blocked early in transport 1"
"KO:K08592","K08592",11,"SENP1; sentrin-specific protease 1 [EC:3.4.22.68]"
"KO:K09424","K09424",11,"REB1; Myb-like DNA-binding protein REB1"
"KO:K10573","K10573",11,"UBE2A, UBC2, RAD6A; ubiquitin-conjugating enzyme E2 A [EC:2.3.2.23]"
"KO:K10583","K10583",11,"UBE2S, E2EPF; ubiquitin-conjugating enzyme E2 S [EC:2.3.2.23]"
"KO:K10627","K10627",11,"RAD18; E3 ubiquitin-protein ligase RAD18 [EC:2.3.2.27]"
"KO:K10689","K10689",11,"PEX4; peroxin-4 [EC:2.3.2.23]"
"KO:K10739","K10739",11,"RFA2, RPA2; replication factor A2"
"KO:K10802","K10802",11,"HMGB1; high mobility group protein B1"
"KO:K11088","K11088",11,"SNRPD3, SMD3; small nuclear ribonucleoprotein D3"
"KO:K11097","K11097",11,"SNRPE, SME; small nuclear ribonucleoprotein E"
"KO:K11213","K11213",11,"STE2; pheromone alpha factor receptor"
"KO:K11308","K11308",11,"MYST1, MOF, KAT8; histone acetyltransferase MYST1 [EC:2.3.1.48]"
"KO:K11595","K11595",11,"CHP1; chromo domain-containing protein 1"
"KO:K11833","K11833",11,"USP2; ubiquitin carboxyl-terminal hydrolase 2 [EC:3.4.19.12]"
"KO:K11848","K11848",11,"USP20_33; ubiquitin carboxyl-terminal hydrolase 20/33 [EC:3.4.19.12]"
"KO:K12180","K12180",11,"COPS7, CSN7; COP9 signalosome complex subunit 7"
"KO:K12483","K12483",11,"EHD1; EH domain-containing protein 1"
"KO:K12587","K12587",11,"MTR3, EXOSC6; exosome complex component MTR3"
"KO:K12762","K12762",11,"GPR1; G protein-coupled receptor GPR1"
"KO:K12883","K12883",11,"NCBP2, CBP20; nuclear cap-binding protein subunit 2"
"KO:K12897","K12897",11,"TRA2; transformer-2 protein"
"KO:K13104","K13104",11,"ZNF830, CCDC16; zinc finger protein 830"
"KO:K13728","K13728",11,"MAD2L2; mitotic spindle assembly checkpoint protein MAD2B"
"KO:K14294","K14294",11,"WIBG, PYM; partner of Y14 and mago"
"KO:K15025","K15025",11,"EIF1AD; probable RNA-binding protein EIF1AD"
"KO:K15130","K15130",11,"MED8; mediator of RNA polymerase II transcription subunit 8, fungi type"
"KO:K15136","K15136",11,"SRB5, MED18; mediator of RNA polymerase II transcription subunit 18, fungi type"
"KO:K15498","K15498",11,"PPP6C; serine/threonine-protein phosphatase 6 catalytic subunit [EC:3.1.3.16]"
"KO:K17262","K17262",11,"TBCB, CKAP1, ALF1; tubulin-specific chaperone B"
"KO:K17268","K17268",11,"COPE; coatomer subunit epsilon"
"KO:K17619","K17619",11,"MDP1; magnesium-dependent phosphatase 1 [EC:3.1.3.48 3.1.3.-]"
"KO:K17769","K17769",11,"TOM22; mitochondrial import receptor subunit TOM22"
"KO:K17796","K17796",11,"TIM21; mitochondrial import inner membrane translocase subunit TIM21"
"KO:K17805","K17805",11,"PAM16, TIM16; mitochondrial import inner membrane translocase subunit TIM16"
"KO:K18045","K18045",11,"SIW14, OCA3; tyrosine-protein phosphatase SIW14 [EC:3.1.3.48]"
"KO:K18065","K18065",11,"CDC25; Cdc25 family phosphatase [EC:3.1.3.48 1.20.4.1]"
"KO:K18134","K18134",11,"EOGT; EGF domain-specific O-GlcNAc transferase [EC:2.4.1.255]"
"KO:K18163","K18163",11,"NDUFAF6; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 6"
"KO:K18549","K18549",11,"ALP1; oryzin [EC:3.4.21.63]"
"KO:K18588","K18588",11,"COQ10; coenzyme Q-binding protein COQ10"
"KO:K18622","K18622",11,"ADD; adducin"
"KO:K18884","K18884",11,"FGAMT; 4-dimethylallyltryptophan N-methyltransferase [EC:2.1.1.261]"
"KO:K19054","K19054",11,"FXN; frataxin [EC:1.16.3.1]"
"KO:K19680","K19680",11,"TRAF3IP1, IFT54; TRAF3-interacting protein 1"
"KO:K00492","K00492",10,"tmuM; 1,3,7-trimethyluric acid 5-monooxygenase [EC:1.14.13.212]"
"KO:K00631","K00631",10,"plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]"
"KO:K00648","K00648",10,"fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]"
"KO:K00661","K00661",10,"maa; maltose O-acetyltransferase [EC:2.3.1.79]"
"KO:K00694","K00694",10,"bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]"
"KO:K00798","K00798",10,"MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
"KO:K01068","K01068",10,"ACOT1_2_4; acyl-coenzyme A thioesterase 1/2/4 [EC:3.1.2.2]"
"KO:K01112","K01112",10,"PHPT1; phosphohistidine phosphatase [EC:3.9.1.3]"
"KO:K01421","K01421",10,"yhgE; putative membrane protein"
"KO:K01725","K01725",10,"cynS; cyanate lyase [EC:4.2.1.104]"
"KO:K02035","K02035",10,"ABC.PE.S; peptide/nickel transport system substrate-binding protein"
"KO:K02140","K02140",10,"ATPeFG, ATP5L, ATP20; F-type H+-transporting ATPase subunit g"
"KO:K02152","K02152",10,"ATPeV1G, ATP6G; V-type H+-transporting ATPase subunit G"
"KO:K02265","K02265",10,"COX5B; cytochrome c oxidase subunit 5b"
"KO:K02557","K02557",10,"motB; chemotaxis protein MotB"
"KO:K02942","K02942",10,"RP-LP1, RPLP1; large subunit ribosomal protein LP1"
"KO:K02951","K02951",10,"RP-S12e, RPS12; small subunit ribosomal protein S12e"
"KO:K02976","K02976",10,"RP-S26e, RPS26; small subunit ribosomal protein S26e"
"KO:K03048","K03048",10,"rpoE; DNA-directed RNA polymerase subunit delta"
"KO:K03140","K03140",10,"TAF14; transcription initiation factor TFIID/TFIIF subunit"
"KO:K03694","K03694",10,"clpA; ATP-dependent Clp protease ATP-binding subunit ClpA"
"KO:K04512","K04512",10,"DAAM; dishevelled associated activator of morphogenesis"
"KO:K05687","K05687",10,"PARK7; protein DJ-1 [EC:3.5.1.124]"
"KO:K06148","K06148",10,"ABCC-BAC; ATP-binding cassette, subfamily C, bacterial"
"KO:K06237","K06237",10,"COL4A; collagen type IV alpha"
"KO:K06999","K06999",10,"K06999; phospholipase/carboxylesterase"
"KO:K07078","K07078",10,"K07078; uncharacterized protein"
"KO:K07107","K07107",10,"ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]"
"KO:K07288","K07288",10,"tspA; uncharacterized membrane protein"
"KO:K07443","K07443",10,"ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein"
"KO:K07567","K07567",10,"NA"
"KO:K07573","K07573",10,"CSL4, EXOSC1; exosome complex component CSL4"
"KO:K07605","K07605",10,"KRT2; type II keratin, basic"
"KO:K07955","K07955",10,"ARL8; ADP-ribosylation factor-like protein 8"
"KO:K08730","K08730",10,"PTDSS2; phosphatidylserine synthase 2 [EC:2.7.8.29]"
"KO:K09248","K09248",10,"PUT3; proline utilization trans-activator"
"KO:K09648","K09648",10,"IMP2; mitochondrial inner membrane protease subunit 2 [EC:3.4.21.-]"
"KO:K09958","K09958",10,"K09958; uncharacterized protein"
"KO:K10403","K10403",10,"KIF22; kinesin family member 22"
"KO:K10731","K10731",10,"SLD3; DNA replication regulator SLD3"
"KO:K10734","K10734",10,"GINS3; GINS complex subunit 3"
"KO:K11321","K11321",10,"BRD8; bromodomain-containing protein 8"
"KO:K11561","K11561",10,"mis14, NSL1; kinetochor protein Mis14/NSL1"
"KO:K11663","K11663",10,"ZNHIT1, VPS71; zinc finger HIT domain-containing protein 1"
"KO:K11696","K11696",10,"CNL2; centromere-localized protein 2"
"KO:K11976","K11976",10,"RNF216, TRIAD3; E3 ubiquitin-protein ligase RNF216 [EC:2.3.2.31]"
"KO:K11987","K11987",10,"PTGS2, COX2; prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1]"
"KO:K12327","K12327",10,"CALD1; caldesmon"
"KO:K12400","K12400",10,"AP4E1; AP-4 complex subunit epsilon-1"
"KO:K12602","K12602",10,"WDR61, REC14, SKI8; WD repeat-containing protein 61"
"KO:K12627","K12627",10,"LSM8; U6 snRNA-associated Sm-like protein LSm8"
"KO:K12780","K12780",10,"REC8; meiotic recombination protein REC8, fungi type"
"KO:K13350","K13350",10,"PXMP4, PMP24; peroxisomal membrane protein 4"
"KO:K13367","K13367",10,"FMS1; polyamine oxidase [EC:1.5.3.17]"
"KO:K14192","K14192",10,"clfB; clumping factor B"
"KO:K14672","K14672",10,"whiEVIII; putative polyketide hydroxylase"
"KO:K14860","K14860",10,"TMA16; translation machinery-associated protein 16"
"KO:K15148","K15148",10,"MED7; mediator of RNA polymerase II transcription subunit 7"
"KO:K15168","K15168",10,"MED25; mediator of RNA polymerase II transcription subunit 25"
"KO:K15190","K15190",10,"MEPCE, BCDIN3; 7SK snRNA methylphosphate capping enzyme [EC:2.1.1.-]"
"KO:K15304","K15304",10,"RANBP3; Ran-binding protein 3"
"KO:K15390","K15390",10,"PSOA; pseurotin A synthetase, hybrid polyketide synthase / nonribosomal peptide synthetase"
"KO:K15456","K15456",10,"KTI12; protein KTI12"
"KO:K16465","K16465",10,"CETN1; centrin-1"
"KO:K17553","K17553",10,"PPP1R11; protein phosphatase 1 regulatory subunit 11"
"KO:K17774","K17774",10,"MDM10; mitochondrial distribution and morphology protein 10"
"KO:K17786","K17786",10,"MIC26; MICOS complex subunit MIC26"
"KO:K17794","K17794",10,"TIM23; mitochondrial import inner membrane translocase subunit TIM23"
"KO:K17803","K17803",10,"OMS1; methyltransferase OMS1, mitochondrial [EC:2.1.1.-]"
"KO:K17888","K17888",10,"ATG10L, ATG10; ubiquitin-like-conjugating enzyme ATG10"
"KO:K17918","K17918",10,"SNX3_12; sorting nexin-3/12"
"KO:K17990","K17990",10,"VCPO; vanadium chloroperoxidase [EC:1.11.1.10]"
"KO:K18207","K18207",10,"POMGNT2, GTDC2; protein O-mannose beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.312]"
"KO:K18278","K18278",10,"THI5; pyrimidine precursor biosynthesis enzyme"
"KO:K18372","K18372",10,"acmB; methyl acetate hydrolase [EC:3.1.1.114]"
"KO:K18386","K18386",10,"PAXM, ATMM, LTMM; FAD dependent monooxygenase [EC:1.14.13.-]"
"KO:K18912","K18912",10,"egtB; gamma-glutamyl hercynylcysteine S-oxide synthase [EC:1.14.99.50]"
"KO:K19584","K19584",10,"PRKX; protein kinase X [EC:2.7.11.11]"
"KO:K19603","K19603",10,"MAPK15; mitogen-activated protein kinase 15 [EC:2.7.11.24]"
"KO:K19619","K19619",10,"TDP2; tyrosyl-DNA phosphodiesterase 2 [EC:3.1.4.-]"
"KO:K00131","K00131",9,"gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"
"KO:K00752","K00752",9,"hasA; hyaluronan synthase [EC:2.4.1.212]"
"KO:K00815","K00815",9,"TAT; tyrosine aminotransferase [EC:2.6.1.5]"
"KO:K00970","K00970",9,"pcnB; poly(A) polymerase [EC:2.7.7.19]"
"KO:K00986","K00986",9,"ltrA; RNA-directed DNA polymerase [EC:2.7.7.49]"
"KO:K00999","K00999",9,"CDIPT; CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]"
"KO:K01051","K01051",9,"E3.1.1.11; pectinesterase [EC:3.1.1.11]"
"KO:K01154","K01154",9,"hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]"
"KO:K01322","K01322",9,"PREP; prolyl oligopeptidase [EC:3.4.21.26]"
"KO:K01379","K01379",9,"CTSD; cathepsin D [EC:3.4.23.5]"
"KO:K01386","K01386",9,"E3.4.23.23; mucorpepsin [EC:3.4.23.23]"
"KO:K01479","K01479",9,"hutG; formiminoglutamase [EC:3.5.3.8]"
"KO:K01696","K01696",9,"trpB; tryptophan synthase beta chain [EC:4.2.1.20]"
"KO:K01779","K01779",9,"racD; aspartate racemase [EC:5.1.1.13]"
"KO:K02003","K02003",9,"ABC.CD.A; putative ABC transport system ATP-binding protein"
"KO:K02004","K02004",9,"ABC.CD.P; putative ABC transport system permease protein"
"KO:K02087","K02087",9,"CDK1, CDC2; cyclin-dependent kinase 1 [EC:2.7.11.22 2.7.11.23]"
"KO:K02895","K02895",9,"RP-L24, MRPL24, rplX; large subunit ribosomal protein L24"
"KO:K02923","K02923",9,"RP-L38e, RPL38; large subunit ribosomal protein L38e"
"KO:K02954","K02954",9,"RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14"
"KO:K02969","K02969",9,"RP-S20e, RPS20; small subunit ribosomal protein S20e"
"KO:K02975","K02975",9,"RP-S25e, RPS25; small subunit ribosomal protein S25e"
"KO:K02982","K02982",9,"RP-S3, rpsC; small subunit ribosomal protein S3"
"KO:K02990","K02990",9,"RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6"
"KO:K03017","K03017",9,"RPB9, POLR2I; DNA-directed RNA polymerase II subunit RPB9"
"KO:K03042","K03042",9,"rpoA2; DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]"
"KO:K03123","K03123",9,"TFIIA2, GTF2A2, TOA2; transcription initiation factor TFIIA small subunit"
"KO:K03133","K03133",9,"TAF9B, TAF9; transcription initiation factor TFIID subunit 9B"
"KO:K03187","K03187",9,"ureE; urease accessory protein"
"KO:K03404","K03404",9,"chlD, bchD; magnesium chelatase subunit D [EC:6.6.1.1]"
"KO:K03406","K03406",9,"mcp; methyl-accepting chemotaxis protein"
"KO:K03540","K03540",9,"RPR2, RPP21; ribonuclease P protein subunit RPR2 [EC:3.1.26.5]"
"KO:K04353","K04353",9,"RAP1A; Ras-related protein Rap-1A"
"KO:K04569","K04569",9,"CCS; copper chaperone for superoxide dismutase"
"KO:K05312","K05312",9,"CHRNN; nicotinic acetylcholine receptor, invertebrate"
"KO:K05350","K05350",9,"bglB; beta-glucosidase [EC:3.2.1.21]"
"KO:K05740","K05740",9,"DIAPH1; diaphanous 1"
"KO:K05756","K05756",9,"ARPC3; actin related protein 2/3 complex, subunit 3"
"KO:K05776","K05776",9,"modF; molybdate transport system ATP-binding protein"
"KO:K07259","K07259",9,"dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]"
"KO:K07579","K07579",9,"K07579; putative methylase"
"KO:K08968","K08968",9,"msrC; L-methionine (R)-S-oxide reductase [EC:1.8.4.14]"
"KO:K10245","K10245",9,"ELO2; fatty acid elongase 2 [EC:2.3.1.199]"
"KO:K10688","K10688",9,"UBE2W, UBC16; ubiquitin-conjugating enzyme E2 W [EC:2.3.2.25]"
"KO:K10867","K10867",9,"NBN, NBS1; nibrin"
"KO:K11232","K11232",9,"YPD1; osomolarity two-component system, phosphorelay intermediate protein YPD1"
"KO:K11404","K11404",9,"HDAC3; histone deacetylase 3 [EC:3.5.1.98]"
"KO:K11462","K11462",9,"EED; polycomb protein EED"
"KO:K11497","K11497",9,"CENPC; centromere protein C"
"KO:K11552","K11552",9,"MAL2, MCM21; central kinetochore subunit Mal2/MCM21"
"KO:K11647","K11647",9,"SMARCA2_4; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:5.6.2.-]"
"KO:K12161","K12161",9,"URM1; ubiquitin related modifier 1"
"KO:K12235","K12235",9,"SRR; serine racemase [EC:5.1.1.18]"
"KO:K12316","K12316",9,"GAA; lysosomal alpha-glucosidase [EC:3.2.1.20]"
"KO:K12446","K12446",9,"E2.7.1.46; L-arabinokinase [EC:2.7.1.46]"
"KO:K12624","K12624",9,"LSM5; U6 snRNA-associated Sm-like protein LSm5"
